"nazwisko","party","votes_2007","votes_2011","percent_2007","percent_2011","position_2007","position_2011","mandate_2007","mandate_2011","district","l_os_lista2007","l_os_lista2011","o_ile","o_ile_procent","id","gender","mandat_2007","liczba","liczba_osob","partia_dummy","position_change_new"
"HUSKOWSKI Stanisław",2,9584,7164,1.72,1.44,7,7,1,1,3,28,28,0,-0.28,418,0,1,1,136,0,0
"GRAŚ Paweł",2,35779,36992,13.37,15.45,1,1,1,1,12,15,16,0,2.08,483,0,1,1,136,0,0
"KRUK Elżbieta Małgorzata",1,53474,30048,10.66,6.53,1,1,1,1,6,30,30,0,-4.13,285,1,1,1,136,1,0
"SCHETYNA Grzegorz",2,54345,61670,13.43,19.66,1,1,1,1,1,24,24,0,6.23,402,0,1,1,136,0,0
"ŁATAS Marek",1,16169,12466,6.04,5.21,3,3,1,1,12,16,16,0,-0.83,329,0,1,1,136,1,0
"ZDROJEWSKI Bogdan",2,213883,149962,38.46,30.2,1,1,1,1,3,28,28,0,-8.26,414,0,1,1,136,0,0
"GAWŁOWSKI Stanisław",2,24597,27047,21.74,12.58,1,1,1,1,40,16,16,0,-9.16,250,0,1,1,136,0,0
"OŻÓG Stanisław",1,38687,37160,16.27,8.13,2,2,1,1,23,30,30,0,-8.14,16,0,1,1,136,1,0
"PIETRASZEWSKA Danuta Róża",2,22790,25496,9.84,6.33,2,2,1,1,31,23,24,0,-3.51,193,1,1,1,136,0,0
"ŁAPIŃSKI Marek",2,2596,6357,0.47,1.28,9,9,2,1,3,28,28,0,0.81,420,0,0,1,136,0,0
"HOC Czesław",1,18309,19942,34.44,9.27,1,1,1,1,40,16,16,0,-25.17,111,0,1,1,136,1,0
"FABISIAK Joanna",2,7552,6739,0.66,0.66,4,4,1,1,19,38,40,0,0,520,1,1,1,136,0,0
"AUGUSTYN Urszula",2,10480,9724,3.73,3.77,2,2,1,1,15,18,18,0,0.04,500,1,1,1,136,0,0
"KŁOSOWSKI Sławomir",1,13357,14165,15.84,4.43,2,2,1,1,21,26,24,0,-11.41,3,0,1,1,136,1,0
"ŚLEDZIŃSKA-KATARASIŃSKA Iwona",2,28516,16279,6.75,4.49,2,2,1,1,9,20,20,0,-2.26,463,1,1,1,136,0,0
